web_scraper_order,web_scraper_start_url,pagination,book link,title,rating,price,stock,category,UPC,rating_word,rating_num,cluster,Genre,Genre_label
1771419147-141,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-43.html,https://books.toscrape.com/catalogue/cosmos_141/index.html,Cosmos,star-rating Two,36.17,In stock (3 available),Add a comment,dbe33cf29ef1623d,Two,2,0,Cluster_0,0
1771419149-142,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-43.html,https://books.toscrape.com/catalogue/counting-thyme_142/index.html,Counting Thyme,star-rating One,10.62,In stock (3 available),Childrens,157f693d9e600ccc,One,1,2,Cluster_2,2
1771419152-143,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-43.html,https://books.toscrape.com/catalogue/crazy-rich-asians-crazy-rich-asians-1_143/index.html,Crazy Rich Asians (Crazy Rich Asians #1),star-rating Five,49.13,In stock (3 available),Fiction,c9782ad2a0ed9331,Five,5,3,Cluster_3,3
1771419154-144,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-43.html,https://books.toscrape.com/catalogue/dark-places_144/index.html,Dark Places,star-rating Five,23.9,In stock (3 available),Default,66937c669c4da072,Five,5,1,Cluster_1,1
1771419156-145,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-43.html,https://books.toscrape.com/catalogue/darkfever-fever-1_145/index.html,Darkfever (Fever #1),star-rating One,56.02,In stock (3 available),Fantasy,468bd274ac084bb9,One,1,0,Cluster_0,0
1771419158-146,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-43.html,https://books.toscrape.com/catalogue/david-and-goliath-underdogs-misfits-and-the-art-of-battling-giants_146/index.html,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",star-rating One,17.81,In stock (3 available),Default,d234ddecef49ef4e,One,1,2,Cluster_2,2
1771419160-147,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-43.html,https://books.toscrape.com/catalogue/dead-wake-the-last-crossing-of-the-lusitania_147/index.html,Dead Wake: The Last Crossing of the Lusitania,star-rating Five,39.24,In stock (3 available),Default,04d858cdeeee0da4,Five,5,3,Cluster_3,3
1771419163-148,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-43.html,https://books.toscrape.com/catalogue/disrupted-my-misadventure-in-the-start-up-bubble_148/index.html,Disrupted: My Misadventure in the Start-Up Bubble,star-rating Five,15.28,In stock (3 available),Nonfiction,81372abc86f65c79,Five,5,1,Cluster_1,1
1771419165-149,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-43.html,https://books.toscrape.com/catalogue/do-androids-dream-of-electric-sheep-blade-runner-1_149/index.html,Do Androids Dream of Electric Sheep? (Blade Runner #1),star-rating One,51.48,In stock (3 available),Science Fiction,98330e431e56a9ea,One,1,0,Cluster_0,0
1771419167-150,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-43.html,https://books.toscrape.com/catalogue/dracula_150/index.html,Dracula,star-rating Three,52.62,In stock (3 available),Default,a7ec599c1a547746,Three,3,3,Cluster_3,3
1771419169-151,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-43.html,https://books.toscrape.com/catalogue/dune-dune-1_151/index.html,Dune (Dune #1),star-rating One,54.86,In stock (3 available),Science Fiction,36d5884d44484277,One,1,0,Cluster_0,0
1771419171-152,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-43.html,https://books.toscrape.com/catalogue/eclipse-twilight-3_152/index.html,Eclipse (Twilight #3),star-rating One,18.74,In stock (3 available),Default,73f71f9556442117,One,1,2,Cluster_2,2
1771419174-153,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-43.html,https://books.toscrape.com/catalogue/eragon-the-inheritance-cycle-1_153/index.html,Eragon (The Inheritance Cycle #1),star-rating Three,43.87,In stock (3 available),Fantasy,b843f52a986a2914,Three,3,3,Cluster_3,3
1771419176-154,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-43.html,https://books.toscrape.com/catalogue/extreme-prey-lucas-davenport-26_154/index.html,Extreme Prey (Lucas Davenport #26),star-rating Three,25.4,In stock (3 available),Mystery,588ba85ff11a3263,Three,3,1,Cluster_1,1
1771419178-155,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-43.html,https://books.toscrape.com/catalogue/fellside_155/index.html,Fellside,star-rating One,38.62,In stock (3 available),Default,147019cae600694e,One,1,0,Cluster_0,0
1771419180-156,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-43.html,https://books.toscrape.com/catalogue/fifty-shades-freed-fifty-shades-3_156/index.html,Fifty Shades Freed (Fifty Shades #3),star-rating Five,15.36,In stock (3 available),Adult Fiction,ed813a848580ba50,Five,5,1,Cluster_1,1
1771419182-157,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-43.html,https://books.toscrape.com/catalogue/fire-bound-sea-havensisters-of-the-heart-5_157/index.html,Fire Bound (Sea Haven/Sisters of the Heart #5),star-rating Four,21.28,In stock (3 available),Add a comment,2ed3a794a70aa85f,Four,4,1,Cluster_1,1
1771419185-158,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-43.html,https://books.toscrape.com/catalogue/friday-night-lights-a-town-a-team-and-a-dream_158/index.html,"Friday Night Lights: A Town, a Team, and a Dream",star-rating Three,51.22,In stock (3 available),Sports and Games,a9aa3ed5b316470b,Three,3,3,Cluster_3,3
1771419187-159,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-43.html,https://books.toscrape.com/catalogue/fruits-basket-vol-3-fruits-basket-3_159/index.html,"Fruits Basket, Vol. 3 (Fruits Basket #3)",star-rating Two,45.17,In stock (3 available),Sequential Art,d5f5a122a593b580,Two,2,0,Cluster_0,0
1771419189-160,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-43.html,https://books.toscrape.com/catalogue/girl-in-the-blue-coat_160/index.html,Girl in the Blue Coat,star-rating Two,46.83,In stock (3 available),Historical Fiction,41fc5dce044f16f5,Two,2,0,Cluster_0,0
1771419191-161,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-42.html,https://books.toscrape.com/catalogue/golden-heart-of-dread-3_161/index.html,Golden (Heart of Dread #3),star-rating Four,42.21,In stock (3 available),Young Adult,984b3b6e7479b571,Four,4,3,Cluster_3,3
1771419193-162,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-42.html,https://books.toscrape.com/catalogue/gone-girl_162/index.html,Gone Girl,star-rating Five,37.6,In stock (3 available),Default,d5c588b6f9c015e4,Five,5,3,Cluster_3,3
1771419196-163,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-42.html,https://books.toscrape.com/catalogue/gratitude_163/index.html,Gratitude,star-rating Five,26.66,In stock (3 available),Nonfiction,c300cc9326592b65,Five,5,1,Cluster_1,1
1771419198-164,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-42.html,https://books.toscrape.com/catalogue/grayson-vol-3-nemesis-grayson-3_164/index.html,"Grayson, Vol 3: Nemesis (Grayson #3)",star-rating One,42.72,In stock (3 available),Sequential Art,4f6985aca357ae09,One,1,0,Cluster_0,0
1771419200-165,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-42.html,https://books.toscrape.com/catalogue/green-eggs-and-ham-beginner-books-b-16_165/index.html,Green Eggs and Ham (Beginner Books B-16),star-rating Four,10.79,In stock (3 available),Childrens,621e2c310cec8d32,Four,4,1,Cluster_1,1
1771419202-166,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-42.html,https://books.toscrape.com/catalogue/heir-to-the-sky_166/index.html,Heir to the Sky,star-rating Four,44.07,In stock (3 available),Fantasy,b003f8bb02f76dc5,Four,4,3,Cluster_3,3
1771419205-167,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-42.html,https://books.toscrape.com/catalogue/holidays-on-ice_167/index.html,Holidays on Ice,star-rating Two,51.07,In stock (3 available),Humor,0cb4856be3694a57,Two,2,0,Cluster_0,0
1771419207-168,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-42.html,https://books.toscrape.com/catalogue/horrible-bear_168/index.html,Horrible Bear!,star-rating Two,37.52,In stock (3 available),Childrens,cc1ac978a6835ef6,Two,2,0,Cluster_0,0
1771419209-169,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-42.html,https://books.toscrape.com/catalogue/house-of-leaves_169/index.html,House of Leaves,star-rating One,54.89,In stock (3 available),Horror,557c03c284be1bf2,One,1,0,Cluster_0,0
1771419211-170,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-42.html,https://books.toscrape.com/catalogue/house-of-lost-worlds-dinosaurs-dynasties-and-the-story-of-life-on-earth_170/index.html,"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",star-rating Two,43.7,In stock (3 available),History,1812b8f5641287e3,Two,2,0,Cluster_0,0
1771419213-171,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-42.html,https://books.toscrape.com/catalogue/hungry-girl-clean-hungry-easy-all-natural-recipes-for-healthy-eating-in-the-real-world_171/index.html,Hungry Girl Clean & Hungry: Easy All-Natural Recipes for Healthy Eating in the Real World,star-rating Three,33.14,In stock (3 available),Food and Drink,6c4d17a46cac8787,Three,3,1,Cluster_1,1
1771419216-172,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-42.html,https://books.toscrape.com/catalogue/i-am-malala-the-girl-who-stood-up-for-education-and-was-shot-by-the-taliban_172/index.html,I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,star-rating Two,28.88,In stock (3 available),Nonfiction,8010c7c148057fd3,Two,2,2,Cluster_2,2
1771419218-173,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-42.html,https://books.toscrape.com/catalogue/ive-got-your-number_173/index.html,I've Got Your Number,star-rating One,19.69,In stock (3 available),Womens Fiction,6b32b561dab8036c,One,1,2,Cluster_2,2
1771419220-174,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-42.html,https://books.toscrape.com/catalogue/if-i-run-if-i-run-1_174/index.html,If I Run (If I Run #1),star-rating Four,49.97,In stock (3 available),Christian Fiction,61569d12d4ae7161,Four,4,3,Cluster_3,3
1771419222-175,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-42.html,https://books.toscrape.com/catalogue/in-the-garden-of-beasts-love-terror-and-an-american-family-in-hitlers-berlin_175/index.html,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",star-rating Three,28.85,In stock (3 available),Nonfiction,d8292cd5f1aca291,Three,3,1,Cluster_1,1
1771419224-176,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-42.html,https://books.toscrape.com/catalogue/inferno-robert-langdon-4_176/index.html,Inferno (Robert Langdon #4),star-rating Five,41.0,In stock (3 available),Fiction,6c4646d90b60a56c,Five,5,3,Cluster_3,3
1771419227-177,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-42.html,https://books.toscrape.com/catalogue/into-the-wild_177/index.html,Into the Wild,star-rating Five,56.7,In stock (3 available),Nonfiction,a7c3f1010d64799a,Five,5,3,Cluster_3,3
1771419229-178,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-42.html,https://books.toscrape.com/catalogue/is-everyone-hanging-out-without-me-and-other-concerns_178/index.html,Is Everyone Hanging Out Without Me? (And Other Concerns),star-rating Three,20.11,In stock (3 available),Default,034829ffdd0a0aea,Three,3,1,Cluster_1,1
1771419231-179,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-42.html,https://books.toscrape.com/catalogue/its-never-too-late-to-begin-again-discovering-creativity-and-meaning-at-midlife-and-beyond_179/index.html,It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,star-rating One,42.38,In stock (3 available),Nonfiction,d4a29356fc992879,One,1,0,Cluster_0,0
1771419233-180,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-42.html,https://books.toscrape.com/catalogue/jurassic-park-jurassic-park-1_180/index.html,Jurassic Park (Jurassic Park #1),star-rating One,44.97,In stock (3 available),Fiction,a0dd11f6abc421ec,One,1,0,Cluster_0,0
1771419235-181,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-41.html,https://books.toscrape.com/catalogue/lady-renegades-rebel-belle-3_181/index.html,Lady Renegades (Rebel Belle #3),star-rating Five,53.04,In stock (3 available),Young Adult,16e843e6b853cc2f,Five,5,3,Cluster_3,3
1771419238-182,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-41.html,https://books.toscrape.com/catalogue/lamb-the-gospel-according-to-biff-christs-childhood-pal_182/index.html,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",star-rating Five,55.5,In stock (3 available),Humor,190fbebbf798c31a,Five,5,3,Cluster_3,3
1771419240-183,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-41.html,https://books.toscrape.com/catalogue/lean-in-women-work-and-the-will-to-lead_183/index.html,"Lean In: Women, Work, and the Will to Lead",star-rating One,25.02,In stock (3 available),Default,d5e1a9bfe22bbf9f,One,1,2,Cluster_2,2
1771419242-184,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-41.html,https://books.toscrape.com/catalogue/legend-legend-1_184/index.html,Legend (Legend #1),star-rating Four,43.69,In stock (3 available),Young Adult,0ce8075fab4a2b5b,Four,4,3,Cluster_3,3
1771419244-185,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-41.html,https://books.toscrape.com/catalogue/lets-pretend-this-never-happened-a-mostly-true-memoir_185/index.html,Let's Pretend This Never Happened: A Mostly True Memoir,star-rating One,45.11,In stock (3 available),Nonfiction,1246e4ffeb5ac4ea,One,1,0,Cluster_0,0
1771419246-186,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-41.html,https://books.toscrape.com/catalogue/letter-to-a-christian-nation_186/index.html,Letter to a Christian Nation,star-rating One,22.2,In stock (3 available),Nonfiction,1de75f05d57bfc10,One,1,2,Cluster_2,2
1771419249-187,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-41.html,https://books.toscrape.com/catalogue/life-after-life_187/index.html,Life After Life,star-rating Two,26.13,In stock (3 available),Default,4ec53ff7e2263f32,Two,2,2,Cluster_2,2
1771419251-188,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-41.html,https://books.toscrape.com/catalogue/life-without-a-recipe_188/index.html,Life Without a Recipe,star-rating Five,59.04,In stock (3 available),Autobiography,c53d9fefcda371e9,Five,5,3,Cluster_3,3
1771419253-189,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-41.html,https://books.toscrape.com/catalogue/life-the-universe-and-everything-hitchhikers-guide-to-the-galaxy-3_189/index.html,"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",star-rating Two,33.26,In stock (3 available),Science Fiction,4b3f4f151c99f472,Two,2,2,Cluster_2,2
1771419255-190,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-41.html,https://books.toscrape.com/catalogue/lila-gilead-3_190/index.html,Lila (Gilead #3),star-rating Three,12.47,In stock (3 available),Fiction,4ef75307fb64e2ad,Three,3,1,Cluster_1,1
1771419257-191,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-41.html,https://books.toscrape.com/catalogue/lust-wonder_191/index.html,Lust & Wonder,star-rating Two,11.87,In stock (3 available),Autobiography,0dcadb06206abd3c,Two,2,2,Cluster_2,2
1771419259-192,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-41.html,https://books.toscrape.com/catalogue/manuscript-found-in-accra_192/index.html,Manuscript Found in Accra,star-rating Two,34.98,In stock (3 available),Add a comment,546da23278482b0a,Two,2,0,Cluster_0,0
1771419262-193,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-41.html,https://books.toscrape.com/catalogue/me-talk-pretty-one-day_193/index.html,Me Talk Pretty One Day,star-rating Two,57.6,In stock (3 available),Autobiography,abc4a7ee16c21088,Two,2,0,Cluster_0,0
1771419264-194,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-41.html,https://books.toscrape.com/catalogue/midnight-riot-peter-grant-rivers-of-london-books-1_194/index.html,Midnight Riot (Peter Grant/ Rivers of London - books #1),star-rating Two,55.46,In stock (3 available),Fantasy,e9056f9b5a40a301,Two,2,0,Cluster_0,0
1771419266-195,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-41.html,https://books.toscrape.com/catalogue/miracles-from-heaven-a-little-girl-her-journey-to-heaven-and-her-amazing-story-of-healing_195/index.html,"Miracles from Heaven: A Little Girl, Her Journey to Heaven, and Her Amazing Story of Healing",star-rating One,57.83,In stock (3 available),Nonfiction,7980fa06f2b704d8,One,1,0,Cluster_0,0
1771419268-196,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-41.html,https://books.toscrape.com/catalogue/morning-star-red-rising-3_196/index.html,Morning Star (Red Rising #3),star-rating One,29.4,In stock (3 available),Default,7ce5a92baabb6bc0,One,1,2,Cluster_2,2
1771419270-197,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-41.html,https://books.toscrape.com/catalogue/naked_197/index.html,Naked,star-rating Three,31.69,In stock (3 available),Humor,54aeeb4610d3ae08,Three,3,1,Cluster_1,1
1771419273-198,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-41.html,https://books.toscrape.com/catalogue/neither-here-nor-there-travels-in-europe_198/index.html,Neither Here nor There: Travels in Europe,star-rating Three,38.95,In stock (3 available),Travel,747cf7fca2ccdbd4,Three,3,3,Cluster_3,3
1771419275-199,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-41.html,https://books.toscrape.com/catalogue/night-the-night-trilogy-1_199/index.html,Night (The Night Trilogy #1),star-rating One,13.51,In stock (3 available),Nonfiction,c4d9fce9eff3b8ba,One,1,2,Cluster_2,2
1771419277-200,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-41.html,https://books.toscrape.com/catalogue/notes-from-a-small-island-notes-from-a-small-island-1_200/index.html,Notes from a Small Island (Notes From a Small Island #1),star-rating One,40.17,In stock (3 available),Nonfiction,cb65e49993db9a93,One,1,0,Cluster_0,0
1771419279-201,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-40.html,https://books.toscrape.com/catalogue/one-for-the-money-stephanie-plum-1_201/index.html,One for the Money (Stephanie Plum #1),star-rating Two,32.87,In stock (3 available),Default,3250650a5c4e6f07,Two,2,2,Cluster_2,2
1771419281-202,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-40.html,https://books.toscrape.com/catalogue/orange-is-the-new-black_202/index.html,Orange Is the New Black,star-rating Two,24.61,In stock (3 available),Default,8378c899988905ee,Two,2,2,Cluster_2,2
1771419283-203,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-40.html,https://books.toscrape.com/catalogue/original-fake_203/index.html,Original Fake,star-rating Three,31.45,In stock (3 available),Sequential Art,c59283b05905c853,Three,3,1,Cluster_1,1
1771419286-204,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-40.html,https://books.toscrape.com/catalogue/outliers-the-story-of-success_204/index.html,Outliers: The Story of Success,star-rating One,14.16,In stock (3 available),Nonfiction,09a7b0b566ad6225,One,1,2,Cluster_2,2
1771419288-205,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-40.html,https://books.toscrape.com/catalogue/packing-for-mars-the-curious-science-of-life-in-the-void_205/index.html,Packing for Mars: The Curious Science of Life in the Void,star-rating Two,56.68,In stock (3 available),Default,8e2dfd6bcf48e1e6,Two,2,0,Cluster_0,0
1771419290-206,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-40.html,https://books.toscrape.com/catalogue/persepolis-the-story-of-a-childhood-persepolis-1-2_206/index.html,Persepolis: The Story of a Childhood (Persepolis #1-2),star-rating One,39.13,In stock (3 available),Sequential Art,cb62418129b864a3,One,1,0,Cluster_0,0
1771419292-207,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-40.html,https://books.toscrape.com/catalogue/prodigy-the-graphic-novel-legend-the-graphic-novel-2_207/index.html,Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),star-rating Three,43.63,In stock (3 available),Sequential Art,9707989a439757b4,Three,3,3,Cluster_3,3
1771419294-208,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-40.html,https://books.toscrape.com/catalogue/quiet-the-power-of-introverts-in-a-world-that-cant-stop-talking_208/index.html,Quiet: The Power of Introverts in a World That Can't Stop Talking,star-rating One,43.55,In stock (3 available),Default,3c565df219ba3274,One,1,0,Cluster_0,0
1771419297-209,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-40.html,https://books.toscrape.com/catalogue/ready-player-one_209/index.html,Ready Player One,star-rating Four,19.07,In stock (3 available),Science Fiction,2ef5dc7e278e562a,Four,4,1,Cluster_1,1
1771419299-210,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-40.html,https://books.toscrape.com/catalogue/red-the-true-story-of-red-riding-hood_210/index.html,Red: The True Story of Red Riding Hood,star-rating Three,28.54,In stock (3 available),Childrens,4c8ece50736f9e88,Three,3,1,Cluster_1,1
1771419301-211,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-40.html,https://books.toscrape.com/catalogue/reservations-for-two_211/index.html,Reservations for Two,star-rating Three,11.1,In stock (3 available),Romance,ecdf73ee66c33b17,Three,3,1,Cluster_1,1
1771419303-212,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-40.html,https://books.toscrape.com/catalogue/rework_212/index.html,Rework,star-rating Two,44.88,In stock (3 available),Business,8e9dd8431170c09e,Two,2,0,Cluster_0,0
1771419305-213,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-40.html,https://books.toscrape.com/catalogue/rise-of-the-rocket-girls-the-women-who-propelled-us-from-missiles-to-the-moon-to-mars_213/index.html,"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",star-rating Four,41.67,In stock (3 available),Nonfiction,89cad3f37c9ce226,Four,4,3,Cluster_3,3
1771419308-214,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-40.html,https://books.toscrape.com/catalogue/rogue-lawyer-rogue-lawyer-1_214/index.html,Rogue Lawyer (Rogue Lawyer #1),star-rating Three,50.11,In stock (3 available),Add a comment,b4f5672f68ec3a83,Three,3,3,Cluster_3,3
1771419310-215,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-40.html,https://books.toscrape.com/catalogue/running-with-scissors_215/index.html,Running with Scissors,star-rating Four,12.91,In stock (3 available),Autobiography,28921443f052bea6,Four,4,1,Cluster_1,1
1771419312-216,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-40.html,https://books.toscrape.com/catalogue/saga-volume-3-saga-collected-editions-3_216/index.html,"Saga, Volume 3 (Saga (Collected Editions) #3)",star-rating Five,21.57,In stock (3 available),Sequential Art,7b870bf85d01c2dc,Five,5,1,Cluster_1,1
1771419314-217,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-40.html,https://books.toscrape.com/catalogue/sarahs-key_217/index.html,Sarah's Key,star-rating One,46.29,In stock (3 available),Add a comment,5b2cd5b31a510848,One,1,0,Cluster_0,0
1771419316-218,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-40.html,https://books.toscrape.com/catalogue/scarlet-the-lunar-chronicles-2_218/index.html,Scarlet (The Lunar Chronicles #2),star-rating Four,14.57,In stock (3 available),Young Adult,510832818edb6fbc,Four,4,1,Cluster_1,1
1771419319-219,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-40.html,https://books.toscrape.com/catalogue/seven-brief-lessons-on-physics_219/index.html,Seven Brief Lessons on Physics,star-rating Four,30.6,In stock (3 available),Science,281a244ce1954711,Four,4,1,Cluster_1,1
1771419321-220,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-40.html,https://books.toscrape.com/catalogue/seven-days-in-the-art-world_220/index.html,Seven Days in the Art World,star-rating Two,52.33,In stock (3 available),Add a comment,07806456878931bc,Two,2,0,Cluster_0,0
1771419323-221,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-39.html,https://books.toscrape.com/catalogue/shopaholic-baby-shopaholic-5_221/index.html,Shopaholic & Baby (Shopaholic #5),star-rating Two,46.45,In stock (3 available),Default,c57d3c96af23c297,Two,2,0,Cluster_0,0
1771419325-222,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-39.html,https://books.toscrape.com/catalogue/soldier-talon-3_222/index.html,Soldier (Talon #3),star-rating Two,24.72,In stock (3 available),Fantasy,feaaae90514eb2ac,Two,2,2,Cluster_2,2
